Stock Code,Investment2019
600400,72193.20129
2068,32743.1494
600992,12141.00311
2691,54280.42428
2051,
751,21078.49066
2040,
600159,
2967,
600573,15019.68
2029,68194.29367
2910,9747.275197
2909,3523.359411
2196,77762.59364
2086,13958.67665
2755,
2181,
600438,646053.5996
933,39362.63333
600558,19835.92233
300626,
970,
715,
2016,
609,
600110,37484.49788
603178,4720.318344
600970,
2766,
603859,
600081,14692.95126
600120,
2738,
2782,
600703,
2908,
603855,52888.89535
707,16109.93924
300400,47498.04956
600525,
601231,
600370,17339.33849
603536,26139.10973
300697,9575.8936
821,455055.6412
600237,
300759,
2765,44455.34208
603488,
600248,
150,
2094,37910.92526
2205,3637.41718
2800,
2808,6314.296709
977,
600593,
300654,
929,14564.18824
300503,13361.86349
2006,40960.55834
603557,37881.01568
603838,18646.43228
796,
828,
600200,
717,151328.0339
300657,
2243,64315.68441
151,
603389,12745.0916
2222,
2210,
949,34709.11441
603399,60896.02403
600973,
600566,
600353,
603881,
2500,
615,
603229,
733,
937,236313.8569
603289,9308.992902
532,
600084,5829.501494
600210,27800.23583
300459,
600064,
2207,25092.8429
600038,449648.0854
300678,
603220,
2966,
603697,2695.394394
600098,
603689,
603133,
600328,16425.79772
603612,15321.24134
2074,
600513,
2055,
682,
600770,
603848,13571.6827
2178,
603601,52507.28915
70,
601179,
600361,
601328,
300461,10126.83286
600268,
603286,2850.654833
600011,
600736,
600088,
758,33553.60049
603997,10893.69784
2799,27461.9832
600757,
900908,2819.640368
601577,
600872,184089.2131
799,97188.6315
300684,13752.3131
600500,26598.48246
60,63015.4344
2132,15419.02988
2689,26029.5536
600262,13126.37753
600501,7082.20914
600960,358.5358586
2035,
600854,
90,
2600,
2091,
600859,
601099,
600240,
600233,
2084,13022.02967
603660,
600563,
600093,
603936,
2730,19808.8924
2136,22551.04696
600420,
2113,
2836,20078.49168
600107,28211.05152
600744,
300671,
300609,
600250,
2147,
948,
600338,186481.7328
2163,
601666,56335.75075
600742,-2618.693534
300332,
1965,
600345,
600348,55475.50008
2164,75.1427907
925,78382.736
601965,60375.69635
603606,
2332,
600995,
601000,
300542,
603300,
2827,42877.59621
300576,8004.443317
600572,
600455,
300420,40427.99393
300629,8708.992598
603308,19647.43087
600580,
2134,
600100,
996,
600739,
2816,24678.69819
601177,47737.00248
600405,
936,44252.69158
600595,15637.23905
600285,
600293,
600533,
2760,13281.99674
2898,
603223,
2846,6251.540978
985,19913.3397
300727,8939.559349
300711,
300606,3863.278064
300674,
300730,
603615,7833.638247
2126,48626.77944
638,
61,
2877,
919,
603157,7014.499759
600360,
2104,
600266,
999,
603327,
601878,
2231,
300514,
603090,8377.2234
300390,
600758,36150.6311
596,183750.5606
2149,52406.56243
601919,
300672,
603016,
601997,
2778,14343.3276
39,79364.87736
603861,
636,
600352,522709.8759
2141,
816,10310.46643
600058,
2930,
600206,93098.14595
600055,50797.80729
600436,
2893,
603088,25125.65701
300515,
2307,
300506,
600311,25079.31329
982,90075.14231
601,
2047,
300621,
600986,
2014,44286.30713
603912,6492.326867
2089,
2026,18516.48664
300680,1477.960544
976,-9768.916347
981,4845.685736
600503,
708,99977.20532
2111,770.5783031
2270,
2673,
603021,14775.28954
300598,
603269,13584.60823
603819,
300565,
688138,
300692,
603667,14474.4588
600303,7358.320736
300475,
661,
688098,
600310,
600897,
2199,
601928,
603101,
2156,
601366,
600059,44361.2537
300563,
731,40883.26084
300446,7679.628106
600277,187129.1167
2724,
300664,
600257,34282.00517
600728,
2167,46493.36188
600996,
600977,
603617,10082.59201
603029,37597.11055
300486,29654.44819
600226,54131.44389
2881,
300647,
2888,
603818,45360.28761
2080,161865.9275
600008,
156,
300722,
600330,
600508,56362.94925
601636,193410.595
601992,156386.4044
600560,14831.96422
989,
300239,
603693,
600288,
603123,
2423,
600292,
603916,46471.3021
300649,
2865,4979.756334
300536,
300413,
600302,1163659.869
600988,73218.51995
2158,46570.20599
601186,
601238,271916.956
300490,
688389,3115.610534
600336,
600550,
300481,28805.28976
300421,8891.341406
2847,20794.3206
603958,28406.43932
2115,
600315,91290.2186
600722,22908.37721
600331,35529.57893
2062,
603098,
917,
601198,
603027,79253.2453
300537,41003.52345
600975,87273.99084
600319,29856.30227
2008,349906.8545
600587,8560.521345
2142,
603055,9971.951866
709,539403.9529
2735,14098.0171
603499,1626.949385
603360,27465.80857
400,
2192,
300586,5481.159348
603333,
627,
603336,47757.24068
2169,
601952,27771.17912
2239,64624.64918
603683,4769.019223
2224,16294.10197
2096,13225.53726
628,
300686,
962,25448.35054
600219,269424.0033
300605,
600327,
2127,
300640,
2780,
600383,
603679,
2232,
603528,
2926,
2223,366133.8478
600261,
600260,
600528,251169.6401
603987,67606.90637
2298,
300350,
603918,
600215,
603960,86257.91159
2802,13199.13617
603906,12473.31333
2118,
600586,8821.22598
600869,
603937,2470.757641
300580,40397.20794
600583,395999.3323
2004,130050.824
2677,
2135,
600435,
600556,
600272,
603331,
603725,12334.93624
603938,14264.07201
603045,
601512,
900904,
603990,
600568,
300578,
600392,100065.3769
600066,1212372.817
603999,
2726,149884.5894
603982,2247.6
600990,
2128,100804.8997
603608,13215.01241
2824,9282.769618
778,148494.1887
2248,18247.88362
600320,139265.0116
2112,
600332,
539,
679,
600297,
603580,1716.087847
300441,16883.56574
601155,
300622,
300391,
603030,
300585,11055.85589
603326,5507.938731
603903,
300694,13086.95901
2166,
990,216284.631
600589,18620.4074
2190,86715.97901
600375,22532.47182
600418,21622.57104
600577,
2810,25677.82029
2010,
600386,
603320,4199.15925
2021,8814.523665
603006,5438.562879
2951,9834.3234
300604,136529.7921
2937,
603863,17438.54414
2215,29527.63657
300737,19816.02201
300706,
600398,144864.8971
921,
600971,48122.81068
2685,35375.23985
300735,
603138,
601599,9898.06304
2599,10818.2196
603681,20315.71985
600114,57268.61756
2598,32659.54615
2097,99028.55849
8,189018.3192
2451,
600329,
507,
300242,
600626,
600738,
600000,
601377,
600599,
6,
601226,
5,
300422,
600603,
2274,53938.22363
300637,8486.205328
2233,203745.5198
2864,
600958,
300517,
603060,
2020,
300520,
601003,175907.6265
603390,
2188,
2114,35549.42782
603131,1107.496198
603696,4129.245994
2652,13673.48292
2093,
2659,
2833,11874.57788
603928,16899.17645
2732,24915.91223
300665,3841.824693
300469,
2228,38108.01914
603886,52961.79042
2108,66170.16263
2170,23098.8902
2715,96908.15945
601019,
2825,6159.681917
603813,
603115,
603739,5751.402274
2201,60309.83101
603339,24199.42479
601595,
99,
300464,
300805,
603356,2846.263991
600485,
603600,55389.43474
600422,
2120,
541,
2822,
601828,
2124,204370.9876
300505,5515.828241
300466,
600466,
2857,
300560,
600300,64387.30298
2117,23699.14654
603788,8528.885429
603050,
300423,
2137,
601969,62063.58777
603559,
603915,4473.727694
603181,15720.02551
300705,
600366,
603678,
600406,
600439,57000.06051
600376,
603081,3166.118562
2017,
603165,10285.66123
2272,19999.45867
603035,946039.5374
603357,
603053,
900,
300638,
2255,42156.85834
603319,14946.49542
300427,
2751,38863.08859
2139,
300491,
2211,36587.31756
300700,6494.48073
2195,
300526,148143.2457
2705,
600546,
2949,
2250,76384.87977
2953,
603996,
300437,11333.6235
603329,
2721,
2185,
603909,
600287,
2027,
2798,12919.45847
300610,12095.53008
300434,
2267,
603555,42864.65039
603823,14374.96358
2056,
603015,
2682,
2234,101747.8533
603991,1276.775899
300477,
2797,
601098,
2858,
603380,
600755,
2734,17935.05728
2786,31683.29261
300641,5799.282662
300667,
603106,
300688,
603315,17397.34646
2204,61641.9722
2182,36601.9169
300410,84204.37612
2218,
2109,33436.72299
2297,34442.52199
601028,38344.59036
603758,11772.43892
300529,20906.78384
2045,
300241,
600776,
42,
2133,
2107,
2100,296672.4367
600884,
603856,12892.58821
2486,47045.30688
2235,
600177,276882.3914
600143,143851.5039
300670,
603919,96593.45696
603800,56648.71567
603790,7136.885612
300619,38713.19483
601699,49213.78019
2088,31452.97673
300280,20537.87066
300669,5464.8201
601798,5173.807259
2668,
300317,
2121,
600269,
603167,
2655,
601009,
600933,10978.43039
900909,799.0554787
300479,
2950,1512.459
300808,
300236,29865.46834
300541,
2157,246841.814
2175,
603577,4748.809434
2119,
600536,
300584,
300290,
603345,122020.7995
600989,85681.49518
2022,
300726,
2862,3562.120556
2203,466956.7352
603025,
678,17078.96111
2625,10061.34749
603885,
603767,43069.76049
300399,
600966,52948.52761
600487,
2636,
2624,
603789,66142.12184
603728,
300768,
603722,8285.815908
600477,
600488,
300699,307914.3883
603305,18677.96274
300521,1588.404118
603042,
300465,
300806,16655.42855
603713,
603568,
600309,656143.5368
2197,54890.11108
300596,58445.03233
2173,
300725,55657.36908
603703,
603616,21170.59429
2787,15072.55695
601689,28058.44853
600249,13371.3173
601108,
300483,40998.61039
300472,10074.36185
2217,
2186,
62,
2101,108362.1131
2842,2742.426632
2011,29475.22454
300620,
2777,
300416,
300630,
2972,
2282,19912.44674
2276,
300272,
993,
603896,
2921,7122.074521
2901,4682.567006
2099,
300780,8081.444977
600549,189166.07
600460,
600976,
2856,
603089,2008.238088
2917,12698.78072
300745,31638.87141
603618,
603268,19729.20936
2171,118697.0509
603367,
603007,
603013,5557.248
603777,
300424,23787.1275
300525,
2187,
603010,19222.19189
603669,
603031,
300653,16972.5225
603880,
603726,7814.958488
300513,
300720,
2896,7221.208504
938,
300548,
603822,8484.181818
600051,
601888,
603121,6337.926
603198,150279.6672
2176,
601116,
600016,
300355,
601801,
2287,
300712,
600267,
880,8185.72776
600298,243962.7147
2708,57757.67552
2023,16219.67422
300106,22582.0938
2729,
2731,
300530,11979.50825
603118,
2793,27765.17638
300611,3833.485233
300631,115.1205091
600220,40202.02105
600308,36157.89432
600276,
603322,
2679,40077.92825
2674,31968.19803
2669,34741.07766
300234,16322.49888
600255,51721.68758
300362,3317.288535
2038,
2530,
300292,
2462,
2264,
600641,
2034,
2654,
2828,10481.81122
2759,
300571,
603306,9359.073577
2849,
603199,
2165,17640.42019
603388,
2288,
2779,71094.72528
2268,
300444,
692,
603887,
300716,4713.754037
300388,
2596,80501.31656
603520,
2851,
600529,233339.685
2151,
300719,3860.750779
300519,
2727,
2032,390000.024
300749,12612.66124
300552,
603578,3883.548189
600321,31794.99332
300510,
2305,
2741,34387.10182
603650,19194.86206
2354,
2835,
300645,
2931,21935.37154
603277,6844.777956
300635,
601360,
300457,195722.3761
2922,
603066,
300618,198514.6006
600312,
603970,
300551,14529.33001
600582,14852.36089
2681,
2155,129887.9602
603008,93739.78927
2442,19766.02954
2584,18020.80896
300715,27002.22496
300327,
601169,
2468,
603127,
603698,
300550,
2256,20034.63986
2919,1855.417631
2019,
600518,
603963,
2154,57442.45662
2226,25003.84965
600367,28735.81402
2230,
603298,161613.9994
688166,
300458,
157,144647.1872
2890,-6408.220741
300627,
2903,11401.6877
2771,
300328,48787.78951
300411,20458.22477
2698,15598.58659
2081,
2647,
2252,
300659,
300453,38278.41586
300404,
2593,7617.251637
300230,6864.621215
300733,6977.314241
2184,
300447,
